"","UserID","AGE","FOAvgStake","LAAvgStake","FOAvgTotalWinnings","LAAvgTotalWinnings","FOTotalActiveDays","LATotalActiveDays","Gender","Recency_bet_sportsFO","Recency_bet_sportsLA","Continent"
"33428",1388541,22,4.095676,9.5,1.641622,9.9,211,178,"Male",4,35,"Europe"
"33429",1388547,28,34.13431,0,32.37108,0,191,0,"Male",24,0,"Europe"
"33430",1388548,38,147.32,0,127.32,0,14,0,"Male",202,0,"Europe"
"33431",1388549,33,5,0,0,0,0,0,"Male",219,0,"Europe"
"33432",1388551,25,0.6993861,3.32,0.529273,4.38,203,17,"Female",16,199,"Europe"
"33433",1388553,24,8.089545,0,6.195606,0,202,0,"Male",17,0,"Europe"
"33434",1388555,24,2.550984,0,0.9116393,0,113,0,"Male",35,0,"Europe"
"33435",1388557,23,6.083333,0,3.583333,0,106,0,"Male",13,0,"Europe"
"33436",1388558,35,9.427425,18.74948,7.696423,24.56429,213,105,"Male",6,104,"Europe"
"33437",1388561,29,5.61875,0,0,0,128,0,"Male",16,0,"Europe"
"33438",1388562,44,13.96098,0,12.49566,0,218,0,"Male",1,0,"Europe"
"33439",1388565,23,5.797273,0,7.574091,0,18,0,"Male",196,0,"Europe"
"33440",1388567,41,5,0,0,0,0,0,"Male",219,0,"Europe"
"33441",1388569,47,100,0,0,0,0,0,"Male",216,0,"Europe"
"33442",1388573,28,1.827273,1.6224,1.422364,1.4844,216,213,"Male",3,3,"Europe"
"33443",1388574,22,1.703125,21.33728,1.92816,16.50239,38,43,"Male",11,7,"Europe"
"33444",1388575,25,2.378919,1.24988,1.333514,1.459036,218,200,"Male",1,2,"Europe"
"33445",1388576,45,3.166667,1.9375,2.333333,2.424583,25,23,"Male",175,174,"Europe"
"33446",1388580,25,4.298974,0,3.95359,0,217,0,"Male",2,0,"Europe"
"33447",1388585,19,9.142857,9.583333,4.488571,10.66667,51,47,"Male",163,166,"Europe"
"33448",1388586,27,72.5,100,150,180,0,0,"Male",216,217,"Europe"
"33449",1388587,31,10.15353,17.52667,10.67985,12.01385,218,18,"Male",1,197,"Europe"
"33450",1388588,31,0.621813,0,0.458272,0,218,0,"Male",1,0,"Europe"
"33451",1388591,44,1.375614,1.284419,0.8868421,1.175256,61,70,"Female",154,145,"Europe"
"33452",1388594,30,0,100,0,0,0,0,"Male",0,210,"Europe"
"33453",1388596,26,3.416899,62.3718,3.173372,0,214,8,"Female",1,207,"Europe"
"33454",1388599,55,9.85,0,10.85,0,7,0,"Male",212,0,"Europe"
"33455",1388600,35,0.5227273,0,0.03787879,0,153,0,"Male",66,0,"Europe"
"33456",1388601,27,2.1825,0,0.5158333,0,172,0,"Male",42,0,"Europe"
"33457",1388602,19,7,0,6.8,0,201,0,"Male",14,0,"Europe"
"33458",1388603,33,10,0,0,0,108,0,"Male",111,0,"Europe"
"33459",1388604,35,3.214286,10,4.427857,0,123,0,"Male",96,132,"Europe"
"33460",1388605,46,3.652318,0,1.708079,0,184,0,"Male",2,0,"Europe"
"33461",1388607,28,3.141429,0,1.712857,0,18,0,"Male",200,0,"Europe"
"33462",1388609,34,0.9692063,1.964933,0.09672973,1.006117,9,6,"Male",195,198,"Europe"
"33463",1388610,26,4.544086,3.204792,3.386187,3.675208,184,164,"Male",35,55,"Europe"
"33464",1388611,23,3.288462,0,1.673077,0,122,0,"Female",97,0,"Europe"
"33465",1388613,47,6.053659,0,5.332195,0,209,0,"Male",10,0,"Europe"
"33466",1388620,43,10.71429,0,9.178571,0,213,0,"Male",1,0,"Europe"
"33467",1388621,58,58,0,18,0,15,0,"Male",195,0,"Europe"
"33468",1388622,32,6.387692,11.20818,1.307692,4.482727,195,201,"Male",9,1,"Europe"
"33469",1388623,26,10,28.08691,0,25.14574,0,66,"Male",210,132,"Europe"
"33470",1388625,18,3.215079,1.636318,2.94045,2.711218,56,57,"Male",161,161,"Asia"
"33471",1388628,29,32,0,28.8,0,191,0,"Male",28,0,"Europe"
"33472",1388629,44,0.9582877,2.722261,0.689363,2.35303,163,153,"Male",56,65,"Europe"
"33473",1388630,39,1.538571,5,1.430408,3.25,81,0,"Male",133,196,"Europe"
"33474",1388631,25,3.377647,2.666667,2.730588,3.816667,178,0,"Male",34,210,"Europe"
"33475",1388635,30,20,0,0,0,0,0,"Male",219,0,"Europe"
"33476",1388638,34,5.129531,2.730299,4.385469,2.105522,208,207,"Male",1,2,"Europe"
"33477",1388640,30,1.127642,0.5525,0.5225472,0.18625,213,29,"Male",6,166,"Europe"
"33478",1388641,25,9.466667,7.614286,5.492121,5.65,23,21,"Female",192,193,"Europe"
"33479",1388642,29,0,100,0,0,0,0,"Male",0,210,"Europe"
"33480",1388643,28,1.650685,1,1.05,0.7166667,61,13,"Male",154,176,"Europe"
"33481",1388646,27,15.375,0,11.21083,0,30,0,"Male",189,0,"Europe"
"33482",1388649,29,0.8426311,0.5977333,0.4808347,0,110,0,"Male",109,112,"Asia"
"33483",1388650,26,2.466061,0,2.235758,0,212,0,"Male",3,0,"Europe"
"33484",1388651,21,3.808642,0,3.766914,0,204,0,"Male",11,0,"Europe"
"33485",1388652,29,4.807241,6.293333,2.517586,6.766667,12,10,"Male",207,207,"Europe"
